"Name","Live Bytes","Live Objects","Allocated Objects","Avg. Age","Generations"
"       viper.silicon.rules.evaluator$.eval3 (viper.silicon.state.State, viper.silver.ast.Exp, viper.silver.verifier.PartialVerificationError, viper.silicon.verifier.Verifier, scala.Function3)","43’624 B (0.4%)","779 (0.3%)","779 (0.2%)","339.6","52"
"        viper.silicon.rules.evaluator$.eval (viper.silicon.state.State, viper.silver.ast.Exp, viper.silver.verifier.PartialVerificationError, viper.silicon.verifier.Verifier, scala.Function3)","43’624 B (0.4%)","779 (0.3%)","779 (0.2%)","339.6","52"
"         viper.silicon.rules.consumer$.consumeTlc (viper.silicon.state.State, viper.silicon.state.Heap, viper.silver.ast.Exp, viper.silver.verifier.PartialVerificationError, viper.silicon.verifier.Verifier, scala.Function4)","21’784 B (0.2%)","389 (0.2%)","389 (0.1%)","342.6","30"
"          viper.silicon.rules.consumer$.$anonfun$wrappedConsumeTlc$1 (viper.silicon.state.State, viper.silver.ast.Exp, viper.silicon.verifier.Verifier, viper.silver.verifier.PartialVerificationError, viper.silicon.state.State, viper.silicon.verifier.Verifier, scala.Function4)","21’784 B (0.2%)","389 (0.2%)","389 (0.1%)","342.6","30"
"         viper.silicon.rules.producer$.$anonfun$produceTlc$12 (viper.silver.ast.Exp, viper.silver.verifier.PartialVerificationError, scala.Function2, viper.silver.ast.Field, scala.Function2, viper.silicon.state.State, viper.silicon.state.terms.Term, viper.silicon.verifier.Verifier)","15’960 B (0.1%)","285 (0.1%)","285 (0.1%)","342.8","33"
"          viper.silicon.rules.producer$$$Lambda$2151.851566441.apply (Object, Object, Object)","15’960 B (0.1%)","285 (0.1%)","285 (0.1%)","342.8","33"
"         viper.silicon.rules.producer$.$anonfun$produceTlc$17 (viper.silver.ast.Exp, viper.silver.verifier.PartialVerificationError, scala.Function2, viper.silver.ast.Predicate, scala.Function2, viper.silicon.state.State, scala.collection.immutable.List, viper.silicon.verifier.Verifier)","3’752 B (0%)","67 (0%)","67 (0%)","346.6","16"
"          viper.silicon.rules.producer$$$Lambda$2263.156976239.apply (Object, Object, Object)","3’752 B (0%)","67 (0%)","67 (0%)","346.6","16"
"         viper.silicon.rules.evaluator$.evals2 (viper.silicon.state.State, scala.collection.immutable.Seq, scala.collection.immutable.List, scala.Function1, viper.silicon.verifier.Verifier, scala.Function3)","1’568 B (0%)","28 (0%)","28 (0%)","244.6","16"
"          viper.silicon.rules.evaluator$.$anonfun$evals2$1 (scala.collection.immutable.Seq, scala.collection.immutable.List, scala.Function1, scala.Function3, viper.silicon.state.State, viper.silicon.state.terms.Term, viper.silicon.verifier.Verifier)","1’120 B (0%)","20 (0%)","20 (0%)","250.0","13"
"          viper.silicon.rules.evaluator$.evals (viper.silicon.state.State, scala.collection.immutable.Seq, scala.Function1, viper.silicon.verifier.Verifier, scala.Function3)","448 B (0%)","8 (0%)","8 (0%)","231.0","7"
"    viper.silicon.state.terms.Var.copy (viper.silicon.state.Identifier, viper.silicon.state.terms.Sort)","40’824 B (0.4%)","729 (0.3%)","729 (0.2%)","205.1","105"
"     viper.silicon.rules.quantifiedChunkSupporter$.$anonfun$injectivityAxiom$3 (viper.silicon.state.terms.Var)","20’664 B (0.2%)","369 (0.1%)","369 (0.1%)","204.6","105"
"      viper.silicon.rules.quantifiedChunkSupporter$$$Lambda$2108.1777894734.apply (Object)","20’664 B (0.2%)","369 (0.1%)","369 (0.1%)","204.6","105"
"       scala.collection.immutable.List.map (scala.Function1)","20’664 B (0.2%)","369 (0.1%)","369 (0.1%)","204.6","105"
"        scala.collection.immutable.List.map (scala.Function1)","20’664 B (0.2%)","369 (0.1%)","369 (0.1%)","204.6","105"
"         viper.silicon.rules.quantifiedChunkSupporter$.injectivityAxiom (scala.collection.immutable.Seq, viper.silicon.state.terms.Term, viper.silicon.state.terms.Term, scala.collection.immutable.Seq, scala.collection.immutable.Seq, String)","20’664 B (0.2%)","369 (0.1%)","369 (0.1%)","204.6","105"
"          viper.silicon.rules.quantifiedChunkSupporter$.$anonfun$consume$3 (viper.silicon.state.terms.Term, scala.collection.immutable.Seq, viper.silicon.state.terms.Term, viper.silicon.state.State, viper.silicon.state.Heap, viper.silver.ast.Resource, scala.collection.immutable.Seq, viper.silicon.verifier.Verifier, scala.collection.immutable.Seq, String, viper.silicon.rules.InverseFunctions, viper.silver.verifier.PartialVerificationError, scala.Function0, scala.Option, scala.collection.immutable.Seq, scala.Function4, scala.Function0, scala.Function0, boolean)","20’664 B (0.2%)","369 (0.1%)","369 (0.1%)","204.6","105"
"     viper.silicon.rules.quantifiedChunkSupporter$.$anonfun$injectivityAxiom$1 (viper.silicon.state.terms.Var)","20’160 B (0.2%)","360 (0.1%)","360 (0.1%)","205.7","105"
"      viper.silicon.rules.quantifiedChunkSupporter$$$Lambda$2106.1874380389.apply (Object)","20’160 B (0.2%)","360 (0.1%)","360 (0.1%)","205.7","105"
"       scala.collection.immutable.List.map (scala.Function1)","20’160 B (0.2%)","360 (0.1%)","360 (0.1%)","205.7","105"
"        scala.collection.immutable.List.map (scala.Function1)","20’160 B (0.2%)","360 (0.1%)","360 (0.1%)","205.7","105"
"         viper.silicon.rules.quantifiedChunkSupporter$.injectivityAxiom (scala.collection.immutable.Seq, viper.silicon.state.terms.Term, viper.silicon.state.terms.Term, scala.collection.immutable.Seq, scala.collection.immutable.Seq, String)","20’160 B (0.2%)","360 (0.1%)","360 (0.1%)","205.7","105"
"          viper.silicon.rules.quantifiedChunkSupporter$.$anonfun$consume$3 (viper.silicon.state.terms.Term, scala.collection.immutable.Seq, viper.silicon.state.terms.Term, viper.silicon.state.State, viper.silicon.state.Heap, viper.silver.ast.Resource, scala.collection.immutable.Seq, viper.silicon.verifier.Verifier, scala.collection.immutable.Seq, String, viper.silicon.rules.InverseFunctions, viper.silver.verifier.PartialVerificationError, scala.Function0, scala.Option, scala.collection.immutable.Seq, scala.Function4, scala.Function0, scala.Function0, boolean)","20’160 B (0.2%)","360 (0.1%)","360 (0.1%)","205.7","105"
"    viper.silicon.supporters.functions.FunctionData.$anonfun$formalArgs$2 (viper.silicon.supporters.functions.FunctionData, scala.Tuple2)","10’920 B (0.1%)","195 (0.1%)","195 (0%)","287.2","32"
"     viper.silicon.supporters.functions.FunctionData$$Lambda$1362.2112940759.apply (Object)","10’920 B (0.1%)","195 (0.1%)","195 (0%)","287.2","32"
"      scala.collection.immutable.List.map (scala.Function1)","10’920 B (0.1%)","195 (0.1%)","195 (0%)","287.2","32"
"       scala.collection.immutable.List.map (scala.Function1)","10’920 B (0.1%)","195 (0.1%)","195 (0%)","287.2","32"
"        viper.silicon.supporters.functions.FunctionData.<init> (viper.silver.ast.Function, int, scala.collection.immutable.ListSet, viper.silver.ast.Program, viper.silicon.state.SymbolConverter, viper.silicon.supporters.functions.HeapAccessReplacingExpressionTranslator, viper.silicon.state.IdentifierFactory, scala.Function1, viper.silicon.Config, viper.silver.plugin.PluginAwareReporter)","10’920 B (0.1%)","195 (0.1%)","195 (0%)","287.2","32"
"         viper.silicon.supporters.functions.DefaultFunctionVerificationUnitProvider$functionsSupporter$.$anonfun$analyze$2 (viper.silicon.supporters.functions.DefaultFunctionVerificationUnitProvider.functionsSupporter., viper.silver.ast.Program, scala.Tuple2)","10’920 B (0.1%)","195 (0.1%)","195 (0%)","287.2","32"
"          viper.silicon.supporters.functions.DefaultFunctionVerificationUnitProvider$functionsSupporter$$$Lambda$1354.1672402303.apply (Object)","10’920 B (0.1%)","195 (0.1%)","195 (0%)","287.2","32"
"    viper.silicon.supporters.ExpressionTranslator.translate (scala.Function1, viper.silver.ast.Exp)","9’632 B (0.1%)","172 (0.1%)","172 (0%)","422.2","24"
"     viper.silicon.supporters.ExpressionTranslator.translate$ (viper.silicon.supporters.ExpressionTranslator, scala.Function1, viper.silver.ast.Exp)","9’632 B (0.1%)","172 (0.1%)","172 (0%)","422.2","24"
"      viper.silicon.supporters.DefaultDomainsTranslator.translate (scala.Function1, viper.silver.ast.Exp)","9’632 B (0.1%)","172 (0.1%)","172 (0%)","422.2","24"
"       viper.silicon.supporters.ExpressionTranslator.$anonfun$translate$1 (viper.silicon.supporters.ExpressionTranslator, scala.Function1, viper.silver.ast.Exp)","9’632 B (0.1%)","172 (0.1%)","172 (0%)","422.2","24"
"        viper.silicon.supporters.ExpressionTranslator$$Lambda$1330.1394707661.apply (Object)","9’632 B (0.1%)","172 (0.1%)","172 (0%)","422.2","24"
"         scala.collection.immutable.List.map (scala.Function1)","9’408 B (0.1%)","168 (0.1%)","168 (0%)","424.7","24"
"          scala.collection.immutable.List.map (scala.Function1)","9’408 B (0.1%)","168 (0.1%)","168 (0%)","424.7","24"
"    viper.silicon.supporters.functions.FunctionData.<init> (viper.silver.ast.Function, int, scala.collection.immutable.ListSet, viper.silver.ast.Program, viper.silicon.state.SymbolConverter, viper.silicon.supporters.functions.HeapAccessReplacingExpressionTranslator, viper.silicon.state.IdentifierFactory, scala.Function1, viper.silicon.Config, viper.silver.plugin.PluginAwareReporter)","4’480 B (0%)","80 (0%)","80 (0%)","337.6","28"
"     viper.silicon.supporters.functions.DefaultFunctionVerificationUnitProvider$functionsSupporter$.$anonfun$analyze$2 (viper.silicon.supporters.functions.DefaultFunctionVerificationUnitProvider.functionsSupporter., viper.silver.ast.Program, scala.Tuple2)","4’480 B (0%)","80 (0%)","80 (0%)","337.6","28"
"      viper.silicon.supporters.functions.DefaultFunctionVerificationUnitProvider$functionsSupporter$$$Lambda$1354.1672402303.apply (Object)","4’480 B (0%)","80 (0%)","80 (0%)","337.6","28"
"       scala.collection.immutable.List.map (scala.Function1)","4’480 B (0%)","80 (0%)","80 (0%)","337.6","28"
"        scala.collection.immutable.List.map (scala.Function1)","4’480 B (0%)","80 (0%)","80 (0%)","337.6","28"
"         viper.silicon.supporters.functions.DefaultFunctionVerificationUnitProvider$functionsSupporter$.analyze (viper.silver.ast.Program)","4’480 B (0%)","80 (0%)","80 (0%)","337.6","28"
"          viper.silicon.verifier.DefaultMasterVerifier.$anonfun$analyzeProgramAndEmitPreambleContributions$1 (viper.silver.ast.Program, viper.silicon.interfaces.PreambleContributor)","4’480 B (0%)","80 (0%)","80 (0%)","337.6","28"
"    viper.silicon.supporters.qps.PredicateSnapGenerator$$anonfun$setup$1.$anonfun$applyOrElse$3 (viper.silicon.supporters.qps.PredicateSnapGenerator..anonfun.setup.1, viper.silver.ast.LocalVarDecl)","1’064 B (0%)","19 (0%)","19 (0%)","374.1","8"
"     viper.silicon.supporters.qps.PredicateSnapGenerator$$anonfun$setup$1$$Lambda$2255.1812730121.apply (Object)","1’064 B (0%)","19 (0%)","19 (0%)","374.1","8"
"      scala.collection.immutable.List.map (scala.Function1)","1’064 B (0%)","19 (0%)","19 (0%)","374.1","8"
"       scala.collection.immutable.List.map (scala.Function1)","1’064 B (0%)","19 (0%)","19 (0%)","374.1","8"
"        viper.silicon.supporters.qps.PredicateSnapGenerator$$anonfun$setup$1.applyOrElse (viper.silver.ast.Node, scala.Function1)","1’064 B (0%)","19 (0%)","19 (0%)","374.1","8"
"         viper.silicon.supporters.qps.PredicateSnapGenerator$$anonfun$setup$1.applyOrElse (Object, scala.Function1)","1’064 B (0%)","19 (0%)","19 (0%)","374.1","8"
"          scala.runtime.AbstractPartialFunction.apply (Object)","1’064 B (0%)","19 (0%)","19 (0%)","374.1","8"
"    viper.silicon.supporters.functions.HeapAccessReplacingExpressionTranslator.translate (scala.Function1, viper.silver.ast.Exp)","224 B (0%)","4 (0%)","4 (0%)","394.2","3"
"     viper.silicon.supporters.ExpressionTranslator.$anonfun$translate$1 (viper.silicon.supporters.ExpressionTranslator, scala.Function1, viper.silver.ast.Exp)","224 B (0%)","4 (0%)","4 (0%)","394.2","3"
"      viper.silicon.supporters.ExpressionTranslator$$Lambda$1330.1394707661.apply (Object)","224 B (0%)","4 (0%)","4 (0%)","394.2","3"
