"Name","Live Bytes","Live Objects","Allocated Objects","Avg. Age","Generations"
"        viper.silicon.state.utils.package$.$anonfun$transform$5 (viper.silicon.state.utils.package., scala.PartialFunction, scala.Function1, scala.PartialFunction, viper.silicon.state.terms.Term)","137’952 B (1.3%)","2’874 (1.3%)","5’479 (0.5%)","723.1","154"
"         viper.silicon.state.utils.package$$$Lambda$1855.2094443676.apply (Object)","137’952 B (1.3%)","2’874 (1.3%)","5’479 (0.5%)","723.1","154"
"          scala.collection.immutable.List.map (scala.Function1)","137’760 B (1.3%)","2’870 (1.3%)","5’475 (0.5%)","723.0","150"
"          scala.collection.immutable.ArraySeq.$anonfun$map$1 (scala.collection.immutable.ArraySeq, scala.Function1, int)","192 B (0%)","4 (0%)","4 (0%)","794.5","4"
"        viper.silicon.state.utils.package$.recurse$1 (viper.silicon.state.terms.Term, scala.PartialFunction, scala.Function1, scala.PartialFunction)","48 B (0%)","1 (0%)","3 (0%)","809.0","1"
"         viper.silicon.state.utils.package$.transform (viper.silicon.state.terms.Term, scala.PartialFunction, scala.Function1, scala.PartialFunction)","48 B (0%)","1 (0%)","3 (0%)","809.0","1"
"          viper.silicon.state.utils.package$.go$1 (viper.silicon.state.terms.Term, scala.PartialFunction, scala.Function1, scala.PartialFunction)","48 B (0%)","1 (0%)","3 (0%)","809.0","1"
"     viper.silicon.supporters.ExpressionTranslator.translate (scala.Function1, viper.silver.ast.Exp)","14’208 B (0.1%)","296 (0.1%)","596 (0.1%)","342.8","81"
"      viper.silicon.supporters.ExpressionTranslator.translate$ (viper.silicon.supporters.ExpressionTranslator, scala.Function1, viper.silver.ast.Exp)","14’208 B (0.1%)","296 (0.1%)","596 (0.1%)","342.8","81"
"       viper.silicon.supporters.DefaultDomainsTranslator.translate (scala.Function1, viper.silver.ast.Exp)","12’000 B (0.1%)","250 (0.1%)","546 (0%)","281.7","61"
"        viper.silicon.supporters.ExpressionTranslator.$anonfun$translate$1 (viper.silicon.supporters.ExpressionTranslator, scala.Function1, viper.silver.ast.Exp)","12’000 B (0.1%)","250 (0.1%)","546 (0%)","281.7","61"
"         viper.silicon.supporters.ExpressionTranslator$$Lambda$1331.1849818408.apply (Object)","12’000 B (0.1%)","250 (0.1%)","546 (0%)","281.7","61"
"          viper.silicon.supporters.ExpressionTranslator.translate (scala.Function1, viper.silver.ast.Exp)","12’000 B (0.1%)","250 (0.1%)","546 (0%)","281.7","61"
"       viper.silicon.supporters.functions.HeapAccessReplacingExpressionTranslator.translate (scala.Function1, viper.silver.ast.Exp)","2’208 B (0%)","46 (0%)","50 (0%)","674.6","26"
"        viper.silicon.supporters.ExpressionTranslator.$anonfun$translate$1 (viper.silicon.supporters.ExpressionTranslator, scala.Function1, viper.silver.ast.Exp)","1’920 B (0%)","40 (0%)","44 (0%)","722.5","24"
"         viper.silicon.supporters.ExpressionTranslator$$Lambda$1331.1849818408.apply (Object)","1’920 B (0%)","40 (0%)","44 (0%)","722.5","24"
"          viper.silicon.supporters.ExpressionTranslator.translate (scala.Function1, viper.silver.ast.Exp)","1’920 B (0%)","40 (0%)","44 (0%)","722.5","24"
"        viper.silicon.supporters.functions.HeapAccessReplacingExpressionTranslator.$anonfun$translatePrecondition$1 (viper.silicon.supporters.functions.HeapAccessReplacingExpressionTranslator, viper.silver.ast.Exp)","240 B (0%)","5 (0%)","5 (0%)","263.8","4"
"         viper.silicon.supporters.functions.HeapAccessReplacingExpressionTranslator$$Lambda$1544.1309190070.apply (Object)","240 B (0%)","5 (0%)","5 (0%)","263.8","4"
"          scala.collection.immutable.List.map (scala.Function1)","240 B (0%)","5 (0%)","5 (0%)","263.8","4"
"        viper.silicon.supporters.functions.HeapAccessReplacingExpressionTranslator.$anonfun$translatePostcondition$1 (viper.silicon.supporters.functions.HeapAccessReplacingExpressionTranslator, viper.silver.ast.Exp)","48 B (0%)","1 (0%)","1 (0%)","809.0","1"
